Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
ADH1B,125,0.07100998630286458,0.0388279805967538,0.045691548961876445,0.028678587938499922,0.055712366219660706,1.4234016356720187e-5,0,0.37002085308567134,0.47491928231122454,0.0015547140811116914,TRUE,TRUE,1.6332296849658854,1.0871834567091063,2.3302689970556987,2.3302689970556987,0.0015547140811116914,FALSE,Not ER binding
B4GALNT4,338707,-0.036248535796806564,-0.04950228363829396,-0.044354094225791986,0.16562538580512248,0.002833973166626432,2.3697288780016304e-7,1,0.5927759693687636,0.2268213482204613,1.7467096050746128e-4,TRUE,TRUE,-0.833716323326551,-1.386063941872231,-2.2620588055153914,-2.2620588055153914,1.7467096050746128e-4,FALSE,Not ER binding
C7,730,0.08986634977225391,0.0328127553072159,0.04746965406293264,9.807897185391352e-4,0.06952625765123047,2.8182394848487934e-7,0,0.24526431640990726,0.5007687504716144,1.8110966929322971e-4,TRUE,TRUE,2.06692604476184,0.9187571486020452,2.4209523572095644,2.4209523572095644,1.8110966929322971e-4,FALSE,Not ER binding
CLDN2,9075,0.0666012705437202,0.04670835108941629,0.04968858191770809,0.04198887310197508,0.05866470117699831,4.3029202517027586e-5,0,0.40397324502266446,0.48292618909822677,0.0025722504343775165,TRUE,TRUE,1.5318292225055645,1.307833830503656,2.534117677803113,2.534117677803113,0.0025722504343775165,FALSE,Tier 2 Only
EEF1A2,1917,-0.06185668353430152,-0.02056756427506586,-0.050652162673141134,0.1279046470368121,0.40245680735084444,8.761349959001438e-5,0,0.5528687593459164,0.7926864413171187,0.003870106800071731,TRUE,TRUE,-1.422703721288935,-0.575891799701844,-2.583260296330198,-2.583260296330198,0.003870106800071731,FALSE,Not ER binding
GNG4,2786,-0.037330434254496135,-0.04242147415445667,-0.039268938090630076,0.22564556695246954,0.007730365493218178,9.139703310222303e-6,0,0.6514295389624158,0.2790376204613808,0.0011102396008250812,TRUE,TRUE,-0.8585999878534111,-1.1878012763247867,-2.002715842622134,-2.002715842622134,0.0011102396008250812,TRUE,Tier 2 Only
H19,283120,-0.01358908385954355,-0.06614792248023563,-0.04175110233560606,0.7411402128609559,0.0022150201933489673,4.5577092105652666e-4,0,0.9181197703949276,0.22383972859864873,0.009824738273974645,TRUE,TRUE,-0.31254892876950163,-1.8521418294465977,-2.129306219115909,-2.129306219115909,0.009824738273974645,FALSE,Not ER binding
HHLA2,11148,0.014133755906664262,0.07479697265653625,0.0479991037912751,0.6788365696398699,0.0016789689649372832,5.875996490993563e-5,0,0.8977852341300553,0.2117387860551003,0.003031422892700769,TRUE,TRUE,0.325076385853278,2.0943152343830147,2.4479542933550302,2.4479542933550302,0.003031422892700769,FALSE,Not ER binding
LGALS4,3960,0.0348814263079947,0.04171241610098709,0.04504145449947085,0.25166240926111594,0.10826233104082589,2.8784186385243934e-4,0,0.6755918197334108,0.5574081230927274,0.007527564269084529,TRUE,TRUE,0.8022728050838781,1.1679476508276385,2.2971141794730134,2.2971141794730134,0.007527564269084529,FALSE,Not ER binding
TM4SF4,7104,0.036474757584669545,0.057795810010294296,0.047487982011662364,0.21191723447535277,0.015662381971784736,3.870702387953634e-5,0,0.6382308839372721,0.3402298122069082,0.0024009027096804623,TRUE,TRUE,0.8389194244473995,1.6182826802882402,2.4218870825947807,2.4218870825947807,0.0024009027096804623,FALSE,Tier 1
TSPAN8,7103,0.013687844637696461,0.03942272544267774,0.04206481830815771,0.6881949896343511,0.06682254703863656,1.5754074665683587e-4,0,0.9014636054428709,0.49675199643986784,0.005399931878167262,TRUE,TRUE,0.3148204266670186,1.1038363123949768,2.1453057337160435,2.1453057337160435,0.005399931878167262,FALSE,Not ER binding
