Hugo_Symbol,Entrez_Gene_Id,LE60_slope,GT60_slope,AllAges_slope,LE60_pval,GT60_pval,AllAges_pval,AgeDependentp,LE60_BHadj_pval,GT60_BHadj_pval,AllAges_BHadj_pval,BHadj_and_AgeDependentp,BHadj_signifp,LE60_log2FC,GT60_log2FC,AllAges_log2FC,Best_log2FC,Best_BHadj_pval,ERbinding,ERbinding_NKI
PALLD,23022,-0.013143484313528226,-0.01670060755338434,-0.017379047237872588,0.09731316928837647,0.05080196540676013,2.568582756424092e-7,1,0.9995884155350505,0.9000940481458689,9.734928646847308e-4,TRUE,TRUE,-0.4600219509734879,-0.5010182266015303,-1.1296380704617182,-1.1296380704617182,9.734928646847308e-4,TRUE,Tier 2 Only
RANBP17,64901,-0.01798808817626012,-0.021413889281082205,-0.018189028822520038,0.021164928934440413,0.008410356908440459,2.3561835907890124e-8,1,0.9995884155350505,0.9000940481458689,1.1162419761362947e-4,TRUE,TRUE,-0.6295830861691042,-0.6424166784324661,-1.1822868734638023,-1.1822868734638023,1.1162419761362947e-4,FALSE,Not ER binding
WFDC1,58189,-0.02028430161361246,-0.01697026123920117,-0.023660966757669724,0.049606157470271944,0.09512419811656933,1.8639830166692688e-8,1,0.9995884155350505,0.9000940481458689,1.1162419761362947e-4,TRUE,TRUE,-0.7099505564764361,-0.5091078371760351,-1.537962839248532,-1.537962839248532,1.1162419761362947e-4,FALSE,Not ER binding
