Gene,NormalBreast13_TMA_WholeSeries_Correlation
pp.bcl2,0.39246781777026896
pp.ck5,0.22775828368982168
pp.ecad,-0.027040735009148876
int.egfr,-0.07959558194512278
pp.esr1,0.3026324913803193
pp.ezh2,-0.3184438581831111
pp.foxa1,0.30296123698736943
pp.h3k27me3,0.4412971194308529
pp.her2,-0.03429798809525889
pp.mki67,-0.10289276588539197
pp.pgr,-0.07388339645325247
pp.tp53,0.018472909344476065
