genes,0.05,0.01,0.001,0.0001
pp.bcl2,TRUE,TRUE,TRUE,TRUE
pp.ck5,TRUE,TRUE,TRUE,FALSE
pp.ecad,FALSE,FALSE,FALSE,FALSE
int.egfr,TRUE,TRUE,TRUE,TRUE
pp.esr1,TRUE,TRUE,TRUE,FALSE
pp.ezh2,TRUE,TRUE,TRUE,TRUE
pp.foxa1,TRUE,TRUE,TRUE,TRUE
pp.h3k27me3,TRUE,TRUE,TRUE,TRUE
pp.her2,TRUE,TRUE,FALSE,FALSE
pp.mki67,TRUE,TRUE,TRUE,TRUE
pp.pgr,FALSE,FALSE,FALSE,FALSE
pp.tp53,TRUE,FALSE,FALSE,FALSE
