Gene,FC,Source
LRP2BP,1.25,Thyroid
LRP4,1.25,Thyroid
LRRC15,1.25,Thyroid
LRRC20,1.25,Thyroid
LRRC3,1.25,Thyroid
LTBP4,1.25,Thyroid
MAFF,1.25,Thyroid
MAF,1.25,Thyroid
MALL,1.25,Thyroid
MANEAL,1.25,Thyroid
MAP4K4,1.25,Thyroid
MAT1A,1.25,Thyroid
MCL1,1.25,Thyroid
MDH2,1.25,Thyroid
MED13,1.25,Thyroid
MEIS2,1.25,Thyroid
MEX3C,1.25,Thyroid
MGA,1.25,Thyroid
MGLL,1.25,Thyroid
MPZL2,1.25,Thyroid
MRC2,1.25,Thyroid
MRPL15,1.25,Thyroid
MSL3P1,1.25,Thyroid
MST1L,1.25,Thyroid
MSX2,1.25,Thyroid
MYADM,1.25,Thyroid
NAV2,1.25,Thyroid
NCAM1,1.25,Thyroid
NCK2,1.25,Thyroid
NCOA7,1.25,Thyroid
JPX,1.25,Thyroid
NDUFS2,1.25,Thyroid
NEFH,1.25,Thyroid
NEURL2,1.25,Thyroid
NIPAL3,1.25,Thyroid
NMB,1.25,Thyroid
NME4,1.25,Thyroid
NMNAT3,1.25,Thyroid
NOL3,1.25,Thyroid
NRBP2,1.25,Thyroid
NRIP3,1.25,Thyroid
NTRK2,1.25,Thyroid
NXF1,1.25,Thyroid
OAS3,1.25,Thyroid
ODC1,1.25,Thyroid
ODF3L1,1.25,Thyroid
OGDHL,1.25,Thyroid
OLFML2A,1.25,Thyroid
OSBPL6,1.25,Thyroid
PAQR8,1.25,Thyroid
PARK2,1.25,Thyroid
PARP14,1.25,Thyroid
PCDH9,1.25,Thyroid
PCDHA3,1.25,Thyroid
PCDHA5,1.25,Thyroid
PCNXL2,1.25,Thyroid
PCOLCE2,1.25,Thyroid
PDCD4,1.25,Thyroid
PDLIM1,1.25,Thyroid
PELI1,1.25,Thyroid
PFKFB2,1.25,Thyroid
PGBD5,1.25,Thyroid
PHF11,1.25,Thyroid
PHYH,1.25,Thyroid
PIBF1,1.25,Thyroid
PKP4,1.25,Thyroid
PLAG1,1.25,Thyroid
PLEKHG2,1.25,Thyroid
PLEKHG3,1.25,Thyroid
PLIN2,1.25,Thyroid
PLK3,1.25,Thyroid
PLLP,1.25,Thyroid
PNMA6A,1.25,Thyroid
POLDIP2,1.25,Thyroid
POMC,1.25,Thyroid
PLPP5,1.25,Thyroid
PPBP,1.25,Thyroid
PPIF,1.25,Thyroid
PPM1H,1.25,Thyroid
PPP1R10,1.25,Thyroid
