Gene,FC,Source
DPH2,1.25,Breast_MB
DPH3,1.25,Breast_MB
DPP7,1.25,Breast_MB
DPY19L1,1.25,Breast_MB
DPYSL2,1.25,Breast_MB
DPYSL3,1.25,Breast_MB
DRAIC,1.25,Breast_MB
DRAM1,1.25,Breast_MB
DRC3,1.25,Breast_MB
DRD4,1.25,Breast_MB
DSC2,1.25,Breast_MB
DSC3,1.25,Breast_MB
DSE,1.25,Breast_MB
DSG2,1.25,Breast_MB
DSG3,1.25,Breast_MB
DTD1,1.25,Breast_MB
DTNA,1.25,Breast_MB
DTX3,1.25,Breast_MB
DUBR,1.25,Breast_MB
DUSP11,1.25,Breast_MB
DUSP22,1.25,Breast_MB
DUSP28,1.25,Breast_MB
DUSP3,1.25,Breast_MB
DUSP4,1.25,Breast_MB
DUSP5,1.25,Breast_MB
DYNC2LI1,1.25,Breast_MB
DYNLRB1,1.25,Breast_MB
DYNLRB2,1.25,Breast_MB
DYRK2,1.25,Breast_MB
DYRK4,1.25,Breast_MB
E2F2,1.25,Breast_MB
E2F3,1.25,Breast_MB
E2F5,1.25,Breast_MB
E4F1,1.25,Breast_MB
EAF2,1.25,Breast_MB
EARS2,1.25,Breast_MB
EBF1,1.25,Breast_MB
ECE2,1.25,Breast_MB
ECI1,1.25,Breast_MB
ECI2,1.25,Breast_MB
ECM1,1.25,Breast_MB
ECM2,1.25,Breast_MB
ECT2,1.25,Breast_MB
EDEM3,1.25,Breast_MB
EDN1,1.25,Breast_MB
EDN3,1.25,Breast_MB
EDNRA,1.25,Breast_MB
EEF1A2,1.25,Breast_MB
EEF1B2,1.25,Breast_MB
EEF1DP3,1.25,Breast_MB
EEF1G,1.25,Breast_MB
EEF2K,1.25,Breast_MB
EFCAB6,1.25,Breast_MB
EFEMP1,1.25,Breast_MB
EFHC1,1.25,Breast_MB
EFNB2,1.25,Breast_MB
EFNB3,1.25,Breast_MB
EFS,1.25,Breast_MB
EGFL6,1.25,Breast_MB
EGFLAM,1.25,Breast_MB
EGFR,1.25,Breast_MB
EGLN1,1.25,Breast_MB
EGLN2,1.25,Breast_MB
EGR1,1.25,Breast_MB
EGR2,1.25,Breast_MB
EHBP1,1.25,Breast_MB
EHD1,1.25,Breast_MB
EI24,1.25,Breast_MB
EIF2AK4,1.25,Breast_MB
EIF3B,1.25,Breast_MB
EIF3E,1.25,Breast_MB
EIF3H,1.25,Breast_MB
EIF3K,1.25,Breast_MB
EIF3L,1.25,Breast_MB
EIF3M,1.25,Breast_MB
EIF4E2,1.25,Breast_MB
EIF4E3,1.25,Breast_MB
EIF4EBP3,1.25,Breast_MB
ELF2,1.25,Breast_MB
ELF5,1.25,Breast_MB
ELMO3,1.25,Breast_MB
ELOVL2,1.25,Breast_MB
ELOVL5,1.25,Breast_MB
ELP2,1.25,Breast_MB
EMILIN1,1.25,Breast_MB
EMILIN2,1.25,Breast_MB
EML4,1.25,Breast_MB
EMP1,1.25,Breast_MB
EMP3,1.25,Breast_MB
ENO1,1.25,Breast_MB
ENO2,1.25,Breast_MB
ENO3,1.25,Breast_MB
ENPP1,1.25,Breast_MB
ENPP2,1.25,Breast_MB
ENPP4,1.25,Breast_MB
ENPP5,1.25,Breast_MB
ENTPD1,1.25,Breast_MB
ENTPD3,1.25,Breast_MB
ENTPD5,1.25,Breast_MB
ENTPD6,1.25,Breast_MB
ENY2,1.25,Breast_MB
EOGT,1.25,Breast_MB
EP300,1.25,Breast_MB
EPB41L2,1.25,Breast_MB
EPB41L4A-AS2,1.25,Breast_MB
EPB41L5,1.25,Breast_MB
EPCAM,1.25,Breast_MB
EPHB1,1.25,Breast_MB
EPHB3,1.25,Breast_MB
EPHB6,1.25,Breast_MB
EPHX1,1.25,Breast_MB
EPHX2,1.25,Breast_MB
EPM2AIP1,1.25,Breast_MB
EPN2,1.25,Breast_MB
EPN3,1.25,Breast_MB
EPS8L1,1.25,Breast_MB
EPSTI1,1.25,Breast_MB
EPYC,1.25,Breast_MB
ERBB3,1.25,Breast_MB
ERGIC1,1.25,Breast_MB
ERGIC2,1.25,Breast_MB
ERICH3,1.25,Breast_MB
ERLEC1,1.25,Breast_MB
ERLIN2,1.25,Breast_MB
ERMARD,1.25,Breast_MB
ERN1,1.25,Breast_MB
ERRFI1,1.25,Breast_MB
ESPN,1.25,Breast_MB
ESR1,1.25,Breast_MB
ESRRG,1.25,Breast_MB
ETFA,1.25,Breast_MB
ETFB,1.25,Breast_MB
ETFDH,1.25,Breast_MB
ETS1,1.25,Breast_MB
ETS2,1.25,Breast_MB
ETV4,1.25,Breast_MB
ETV5,1.25,Breast_MB
ETV6,1.25,Breast_MB
EVA1A,1.25,Breast_MB
EVA1B,1.25,Breast_MB
EVI2A,1.25,Breast_MB
EVI2B,1.25,Breast_MB
EVL,1.25,Breast_MB
EWSAT1,1.25,Breast_MB
EXO1,1.25,Breast_MB
EXOC6,1.25,Breast_MB
EXOG,1.25,Breast_MB
EXOSC8,1.25,Breast_MB
EXT2,1.25,Breast_MB
EXTL2,1.25,Breast_MB
EYA2,1.25,Breast_MB
EZH2,1.25,Breast_MB
EZR,1.25,Breast_MB
F12,1.25,Breast_MB
F2R,1.25,Breast_MB
F2RL2,1.25,Breast_MB
F7,1.25,Breast_MB
FAAH,1.25,Breast_MB
FAAH2,1.25,Breast_MB
FABP5,1.25,Breast_MB
FABP7,1.25,Breast_MB
FAF1,1.25,Breast_MB
FAH,1.25,Breast_MB
FAHD1,1.25,Breast_MB
FAM102A,1.25,Breast_MB
FAM107A,1.25,Breast_MB
FAM110B,1.25,Breast_MB
FAM120AOS,1.25,Breast_MB
FAM127A,1.25,Breast_MB
FAM127B,1.25,Breast_MB
FAM127C,1.25,Breast_MB
FAM129A,1.25,Breast_MB
FAM134A,1.25,Breast_MB
FAM134B,1.25,Breast_MB
FAM136A,1.25,Breast_MB
FAM150B,1.25,Breast_MB
FAM171A1,1.25,Breast_MB
FAM173A,1.25,Breast_MB
FAM174A,1.25,Breast_MB
FAM174B,1.25,Breast_MB
FAM183A,1.25,Breast_MB
FAM189A2,1.25,Breast_MB
FAM189B,1.25,Breast_MB
FAM195A,1.25,Breast_MB
FAM196A,1.25,Breast_MB
FAM198B,1.25,Breast_MB
FAM19A3,1.25,Breast_MB
FAM20A,1.25,Breast_MB
FAM20C,1.25,Breast_MB
FAM214A,1.25,Breast_MB
FAM222A,1.25,Breast_MB
FAM234A,1.25,Breast_MB
FAM234B,1.25,Breast_MB
FAM3B,1.25,Breast_MB
FAM3D,1.25,Breast_MB
FAM43A,1.25,Breast_MB
FAM46B,1.25,Breast_MB
FAM50B,1.25,Breast_MB
FAM57A,1.25,Breast_MB
FAM63A,1.25,Breast_MB
FAM64A,1.25,Breast_MB
FAM65B,1.25,Breast_MB
FAM83D,1.25,Breast_MB
FAM83E,1.25,Breast_MB
FAM84B,1.25,Breast_MB
FAM89A,1.25,Breast_MB
FAM96B,1.25,Breast_MB
FAM98A,1.25,Breast_MB
FANCE,1.25,Breast_MB
FAP,1.25,Breast_MB
FAR1,1.25,Breast_MB
FAR2,1.25,Breast_MB
FARP1,1.25,Breast_MB
FASN,1.25,Breast_MB
FAT1,1.25,Breast_MB
FAT2,1.25,Breast_MB
FBL,1.25,Breast_MB
FBLN1,1.25,Breast_MB
FBLN2,1.25,Breast_MB
FBLN5,1.25,Breast_MB
FBN2,1.25,Breast_MB
FBN3,1.25,Breast_MB
FBP1,1.25,Breast_MB
FBXL16,1.25,Breast_MB
FBXL19-AS1,1.25,Breast_MB
FBXL2,1.25,Breast_MB
FBXL5,1.25,Breast_MB
FBXL7,1.25,Breast_MB
FBXO2,1.25,Breast_MB
FBXO32,1.25,Breast_MB
FBXO9,1.25,Breast_MB
FBXW4,1.25,Breast_MB
FCAR,1.25,Breast_MB
FCER1A,1.25,Breast_MB
FCGBP,1.25,Breast_MB
FCMR,1.25,Breast_MB
FCN1,1.25,Breast_MB
FCN3,1.25,Breast_MB
FCRL3,1.25,Breast_MB
FCRLA,1.25,Breast_MB
FCRLB,1.25,Breast_MB
FDCSP,1.25,Breast_MB
FEM1C,1.25,Breast_MB
FER1L5,1.25,Breast_MB
FERMT1,1.25,Breast_MB
FERMT2,1.25,Breast_MB
FERMT3,1.25,Breast_MB
FGB,1.25,Breast_MB
FGD3,1.25,Breast_MB
FGD5,1.25,Breast_MB
FGF10,1.25,Breast_MB
FGF9,1.25,Breast_MB
FGFBP1,1.25,Breast_MB
FGFR3,1.25,Breast_MB
FGFR4,1.25,Breast_MB
FGL2,1.25,Breast_MB
FHL3,1.25,Breast_MB
FHOD3,1.25,Breast_MB
FICD,1.25,Breast_MB
FILIP1L,1.25,Breast_MB
FKBP11,1.25,Breast_MB
FKBP1A,1.25,Breast_MB
FKBP4,1.25,Breast_MB
FKBP5,1.25,Breast_MB
FLAD1,1.25,Breast_MB
FLNB,1.25,Breast_MB
FLNC,1.25,Breast_MB
FLOT1,1.25,Breast_MB
FLRT2,1.25,Breast_MB
FLVCR2,1.25,Breast_MB
FLYWCH2,1.25,Breast_MB
FMNL2,1.25,Breast_MB
FMO1,1.25,Breast_MB
FMO2,1.25,Breast_MB
FMO5,1.25,Breast_MB
FNBP1,1.25,Breast_MB
FNDC1,1.25,Breast_MB
FNIP1,1.25,Breast_MB
FOLR1,1.25,Breast_MB
FOXA1,1.25,Breast_MB
FOXC1,1.25,Breast_MB
FOXD2,1.25,Breast_MB
FOXF2,1.25,Breast_MB
FOXK1,1.25,Breast_MB
FOXM1,1.25,Breast_MB
FOXN2,1.25,Breast_MB
FOXN3,1.25,Breast_MB
FOXO1,1.25,Breast_MB
FOXQ1,1.25,Breast_MB
FPR3,1.25,Breast_MB
FRAS1,1.25,Breast_MB
FREM1,1.25,Breast_MB
FRMD3,1.25,Breast_MB
FRZB,1.25,Breast_MB
FSCN1,1.25,Breast_MB
FSCN2,1.25,Breast_MB
FSIP1,1.25,Breast_MB
FSTL1,1.25,Breast_MB
FSTL3,1.25,Breast_MB
FTH1,1.25,Breast_MB
FUCA1,1.25,Breast_MB
FUOM,1.25,Breast_MB
FUT3,1.25,Breast_MB
FUT4,1.25,Breast_MB
FXYD3,1.25,Breast_MB
FXYD6,1.25,Breast_MB
FYB,1.25,Breast_MB
FYCO1,1.25,Breast_MB
FYN,1.25,Breast_MB
FZD4,1.25,Breast_MB
FZD7,1.25,Breast_MB
FZD9,1.25,Breast_MB
G6PC3,1.25,Breast_MB
GAA,1.25,Breast_MB
GABARAPL1,1.25,Breast_MB
GABBR2,1.25,Breast_MB
GABRP,1.25,Breast_MB
GAD1,1.25,Breast_MB
GADD45A,1.25,Breast_MB
GADD45G,1.25,Breast_MB
GAK,1.25,Breast_MB
GAL,1.25,Breast_MB
GALC,1.25,Breast_MB
GALNT10,1.25,Breast_MB
GALNT5,1.25,Breast_MB
GALNT6,1.25,Breast_MB
GAMT,1.25,Breast_MB
GAPDH,1.25,Breast_MB
GARNL3,1.25,Breast_MB
GARS,1.25,Breast_MB
GART,1.25,Breast_MB
GAS1,1.25,Breast_MB
GAS7,1.25,Breast_MB
GATA2,1.25,Breast_MB
GATA3,1.25,Breast_MB
GATAD1,1.25,Breast_MB
GATM,1.25,Breast_MB
GBP1,1.25,Breast_MB
GBP2,1.25,Breast_MB
GBP4,1.25,Breast_MB
GBP5,1.25,Breast_MB
GCNT1,1.25,Breast_MB
GCNT2,1.25,Breast_MB
GDAP1,1.25,Breast_MB
GDE1,1.25,Breast_MB
GDF15,1.25,Breast_MB
GDF9,1.25,Breast_MB
GDI1,1.25,Breast_MB
GDI2,1.25,Breast_MB
GDPD3,1.25,Breast_MB
GEM,1.25,Breast_MB
GFPT2,1.25,Breast_MB
GFRA1,1.25,Breast_MB
GGA2,1.25,Breast_MB
GGH,1.25,Breast_MB
GHDC,1.25,Breast_MB
GIMAP4,1.25,Breast_MB
GIMAP5,1.25,Breast_MB
GIMAP7,1.25,Breast_MB
GIMAP8,1.25,Breast_MB
GINS3,1.25,Breast_MB
GJB2,1.25,Breast_MB
GLA,1.25,Breast_MB
GLCE,1.25,Breast_MB
GLDC,1.25,Breast_MB
GLDN,1.25,Breast_MB
GLG1,1.25,Breast_MB
GLI3,1.25,Breast_MB
GLIPR1,1.25,Breast_MB
GLIPR2,1.25,Breast_MB
GLMP,1.25,Breast_MB
GLRB,1.25,Breast_MB
GLRX,1.25,Breast_MB
GLRX3,1.25,Breast_MB
GLS2,1.25,Breast_MB
GLT8D2,1.25,Breast_MB
GLUD1,1.25,Breast_MB
GLYATL2,1.25,Breast_MB
GLYR1,1.25,Breast_MB
GMDS,1.25,Breast_MB
GMFG,1.25,Breast_MB
GMNN,1.25,Breast_MB
GNA13,1.25,Breast_MB
GNG11,1.25,Breast_MB
GNG12,1.25,Breast_MB
GNL2,1.25,Breast_MB
GNL3L,1.25,Breast_MB
GNLY,1.25,Breast_MB
GNPTG,1.25,Breast_MB
GOLGA2P10,1.25,Breast_MB
GOLGA8B,1.25,Breast_MB
GOLM1,1.25,Breast_MB
GOLPH3L,1.25,Breast_MB
GOLT1A,1.25,Breast_MB
GOT2,1.25,Breast_MB
GP2,1.25,Breast_MB
GPATCH2,1.25,Breast_MB
GPC4,1.25,Breast_MB
GPD1L,1.25,Breast_MB
GPI,1.25,Breast_MB
GPM6B,1.25,Breast_MB
GPN1,1.25,Breast_MB
GPNMB,1.25,Breast_MB
GPR12,1.25,Breast_MB
GPR160,1.25,Breast_MB
GPR162,1.25,Breast_MB
GPR18,1.25,Breast_MB
GPR183,1.25,Breast_MB
GPR37,1.25,Breast_MB
GPRC5A,1.25,Breast_MB
GPRC5C,1.25,Breast_MB
GPRIN2,1.25,Breast_MB
GPS2,1.25,Breast_MB
GPSM1,1.25,Breast_MB
GPSM2,1.25,Breast_MB
GPT2,1.25,Breast_MB
GPX2,1.25,Breast_MB
GPX4,1.25,Breast_MB
GPX7,1.25,Breast_MB
GPX8,1.25,Breast_MB
GRAMD2,1.25,Breast_MB
GRAMD3,1.25,Breast_MB
GRB7,1.25,Breast_MB
GREM1,1.25,Breast_MB
GRIA2,1.25,Breast_MB
GRM4,1.25,Breast_MB
GRPR,1.25,Breast_MB
GRTP1,1.25,Breast_MB
GSAP,1.25,Breast_MB
GSDMB,1.25,Breast_MB
GSDMC,1.25,Breast_MB
GSE1,1.25,Breast_MB
GSN,1.25,Breast_MB
GSPT2,1.25,Breast_MB
GSTA1,1.25,Breast_MB
GSTM1,1.25,Breast_MB
GSTM2,1.25,Breast_MB
GSTM3,1.25,Breast_MB
GSTO2,1.25,Breast_MB
GSTP1,1.25,Breast_MB
GSTT2,1.25,Breast_MB
GTF2E2,1.25,Breast_MB
GTF2F1,1.25,Breast_MB
GTF2IP1,1.25,Breast_MB
GTF2IRD2P1,1.25,Breast_MB
GTF3C1,1.25,Breast_MB
GTPBP4,1.25,Breast_MB
GTSE1,1.25,Breast_MB
GUCY1A3,1.25,Breast_MB
GULP1,1.25,Breast_MB
GUSBP1,1.25,Breast_MB
GUSBP2,1.25,Breast_MB
GYPC,1.25,Breast_MB
GZMA,1.25,Breast_MB
GZMB,1.25,Breast_MB
GZMK,1.25,Breast_MB
H1F0,1.25,Breast_MB
H1FX,1.25,Breast_MB
H2AFJ,1.25,Breast_MB
H2AFY2,1.25,Breast_MB
H2AFZ,1.25,Breast_MB
HACD1,1.25,Breast_MB
HACD2,1.25,Breast_MB
HACD3,1.25,Breast_MB
HAGH,1.25,Breast_MB
HAGHL,1.25,Breast_MB
HAMP,1.25,Breast_MB
HAPLN3,1.25,Breast_MB
HAS3,1.25,Breast_MB
HCAR1,1.25,Breast_MB
HCFC1R1,1.25,Breast_MB
HCLS1,1.25,Breast_MB
HCST,1.25,Breast_MB
HDAC11,1.25,Breast_MB
HDAC2,1.25,Breast_MB
HDC,1.25,Breast_MB
HDGF,1.25,Breast_MB
HDHD2,1.25,Breast_MB
HEATR1,1.25,Breast_MB
HEBP1,1.25,Breast_MB
HEBP2,1.25,Breast_MB
HEMK1,1.25,Breast_MB
HENMT1,1.25,Breast_MB
HEPH,1.25,Breast_MB
HERC5,1.25,Breast_MB
HERC6,1.25,Breast_MB
HES4,1.25,Breast_MB
HEXIM2,1.25,Breast_MB
HEY2,1.25,Breast_MB
HHAT,1.25,Breast_MB
HID1,1.25,Breast_MB
HIF1A,1.25,Breast_MB
HIGD1A,1.25,Breast_MB
HINT2,1.25,Breast_MB
HIRIP3,1.25,Breast_MB
HIST1H2AC,1.25,Breast_MB
HIST1H2AE,1.25,Breast_MB
HIST1H2BJ,1.25,Breast_MB
HIST1H2BK,1.25,Breast_MB
HIST2H2BE,1.25,Breast_MB
HIST3H2A,1.25,Breast_MB
HIVEP1,1.25,Breast_MB
HJURP,1.25,Breast_MB
HLA-A,1.25,Breast_MB
HLA-B,1.25,Breast_MB
HLA-DOB,1.25,Breast_MB
HLA-DQA1,1.25,Breast_MB
HLA-E,1.25,Breast_MB
HLA-F,1.25,Breast_MB
HLA-G,1.25,Breast_MB
HLA-H,1.25,Breast_MB
HLCS,1.25,Breast_MB
HMBS,1.25,Breast_MB
HMG20B,1.25,Breast_MB
HMGA1,1.25,Breast_MB
HMGB1P1,1.25,Breast_MB
HMGCL,1.25,Breast_MB
HMGCS2,1.25,Breast_MB
HMMR,1.25,Breast_MB
HMP19,1.25,Breast_MB
HN1,1.25,Breast_MB
HN1L,1.25,Breast_MB
HNRNPAB,1.25,Breast_MB
HNRNPLL,1.25,Breast_MB
HNRNPUL2,1.25,Breast_MB
HOGA1,1.25,Breast_MB
HOMER3,1.25,Breast_MB
HOOK1,1.25,Breast_MB
HOOK2,1.25,Breast_MB
HOPX,1.25,Breast_MB
HORMAD1,1.25,Breast_MB
HOXA4,1.25,Breast_MB
HOXA5,1.25,Breast_MB
HOXA9,1.25,Breast_MB
HOXB2,1.25,Breast_MB
HOXB3,1.25,Breast_MB
HOXB5,1.25,Breast_MB
HOXB6,1.25,Breast_MB
HOXC4,1.25,Breast_MB
HOXC6,1.25,Breast_MB
HOXC8,1.25,Breast_MB
HOXC9,1.25,Breast_MB
HPGD,1.25,Breast_MB
HPN,1.25,Breast_MB
HPRT1,1.25,Breast_MB
HPX,1.25,Breast_MB
HRASLS,1.25,Breast_MB
HRCT1,1.25,Breast_MB
HRK,1.25,Breast_MB
HS3ST3A1,1.25,Breast_MB
HSD17B11,1.25,Breast_MB
HSD17B14,1.25,Breast_MB
HSD17B2,1.25,Breast_MB
HSD17B4,1.25,Breast_MB
HSD17B8,1.25,Breast_MB
HSDL2,1.25,Breast_MB
HSH2D,1.25,Breast_MB
HSPA12A,1.25,Breast_MB
HSPA14,1.25,Breast_MB
HSPA1A,1.25,Breast_MB
HSPA1B,1.25,Breast_MB
HSPA2,1.25,Breast_MB
HSPA5,1.25,Breast_MB
HSPA8,1.25,Breast_MB
HSPA9,1.25,Breast_MB
HSPB1,1.25,Breast_MB
HSPB2,1.25,Breast_MB
HSPB8,1.25,Breast_MB
HSPD1,1.25,Breast_MB
HSPH1,1.25,Breast_MB
HTATIP2,1.25,Breast_MB
HTRA1,1.25,Breast_MB
HYOU1,1.25,Breast_MB
IARS,1.25,Breast_MB
ICA1,1.25,Breast_MB
ICAM2,1.25,Breast_MB
ICOS,1.25,Breast_MB
ID2,1.25,Breast_MB
ID3,1.25,Breast_MB
IDH2,1.25,Breast_MB
IDNK,1.25,Breast_MB
IDO1,1.25,Breast_MB
IDUA,1.25,Breast_MB
IER3,1.25,Breast_MB
IFI16,1.25,Breast_MB
IFI27,1.25,Breast_MB
IFI27L2,1.25,Breast_MB
IFI30,1.25,Breast_MB
IFI35,1.25,Breast_MB
IFI44,1.25,Breast_MB
IFI44L,1.25,Breast_MB
IFIH1,1.25,Breast_MB
IFIT2,1.25,Breast_MB
IFITM3,1.25,Breast_MB
IFNAR2,1.25,Breast_MB
IFNGR1,1.25,Breast_MB
IFRD1,1.25,Breast_MB
IFT122,1.25,Breast_MB
IFT140,1.25,Breast_MB
IFT43,1.25,Breast_MB
IFT46,1.25,Breast_MB
IFT88,1.25,Breast_MB
IGDCC3,1.25,Breast_MB
IGDCC4,1.25,Breast_MB
IGF1,1.25,Breast_MB
IGF1R,1.25,Breast_MB
IGF2BP2,1.25,Breast_MB
IGF2BP3,1.25,Breast_MB
IGFALS,1.25,Breast_MB
IGFBP2,1.25,Breast_MB
IGFBP3,1.25,Breast_MB
IGFBP5,1.25,Breast_MB
IGFBP6,1.25,Breast_MB
IGFBP7,1.25,Breast_MB
IGFLR1,1.25,Breast_MB
IGLL1,1.25,Breast_MB
IGLL3P,1.25,Breast_MB
IGSF1,1.25,Breast_MB
IGSF21,1.25,Breast_MB
IGSF3,1.25,Breast_MB
IKBKB,1.25,Breast_MB
IL10RA,1.25,Breast_MB
IL13RA1,1.25,Breast_MB
IL17B,1.25,Breast_MB
IL17RB,1.25,Breast_MB
IL17RC,1.25,Breast_MB
IL18BP,1.25,Breast_MB
IL18R1,1.25,Breast_MB
IL18RAP,1.25,Breast_MB
IL1R2,1.25,Breast_MB
IL20RA,1.25,Breast_MB
IL21R,1.25,Breast_MB
IL27RA,1.25,Breast_MB
IL2RB,1.25,Breast_MB
IL32,1.25,Breast_MB
IL33,1.25,Breast_MB
IL34,1.25,Breast_MB
IL37,1.25,Breast_MB
IL4R,1.25,Breast_MB
IL6,1.25,Breast_MB
IL6ST,1.25,Breast_MB
IL7R,1.25,Breast_MB
ILDR1,1.25,Breast_MB
ILF2,1.25,Breast_MB
IMPA2,1.25,Breast_MB
INADL,1.25,Breast_MB
INMT,1.25,Breast_MB
INO80E,1.25,Breast_MB
INPP4B,1.25,Breast_MB
INPP5J,1.25,Breast_MB
INSIG1,1.25,Breast_MB
INSM1,1.25,Breast_MB
IQCG,1.25,Breast_MB
IQCK,1.25,Breast_MB
IQGAP2,1.25,Breast_MB
IQSEC2,1.25,Breast_MB
IRAK1,1.25,Breast_MB
IRF8,1.25,Breast_MB
IRX2,1.25,Breast_MB
IRX4,1.25,Breast_MB
IRX5,1.25,Breast_MB
ISG20,1.25,Breast_MB
ISG20L2,1.25,Breast_MB
ISLR,1.25,Breast_MB
ISM1,1.25,Breast_MB
ITGA1,1.25,Breast_MB
ITGA6,1.25,Breast_MB
ITGB1,1.25,Breast_MB
ITGB1BP1,1.25,Breast_MB
ITGB2,1.25,Breast_MB
ITGB4,1.25,Breast_MB
ITGB5,1.25,Breast_MB
ITGB7,1.25,Breast_MB
ITK,1.25,Breast_MB
ITM2A,1.25,Breast_MB
ITM2C,1.25,Breast_MB
ITPK1,1.25,Breast_MB
ITPKA,1.25,Breast_MB
ITPR1,1.25,Breast_MB
ITPR2,1.25,Breast_MB
ITPRIP,1.25,Breast_MB
ITPRIPL2,1.25,Breast_MB
IVD,1.25,Breast_MB
JADE2,1.25,Breast_MB
JADE3,1.25,Breast_MB
JAK1,1.25,Breast_MB
JAKMIP3,1.25,Breast_MB
JAM2,1.25,Breast_MB
JAM3,1.25,Breast_MB
JAML,1.25,Breast_MB
JCHAIN,1.25,Breast_MB
JMJD7-PLA2G4B,1.25,Breast_MB
JMJD8,1.25,Breast_MB
JOSD1,1.25,Breast_MB
JSRP1,1.25,Breast_MB
JUND,1.25,Breast_MB
JUP,1.25,Breast_MB
KANK4,1.25,Breast_MB
KANSL3,1.25,Breast_MB
KARS,1.25,Breast_MB
KAT2A,1.25,Breast_MB
KAT6A,1.25,Breast_MB
KAT6B,1.25,Breast_MB
KAZALD1,1.25,Breast_MB
KCNAB1,1.25,Breast_MB
KCNE4,1.25,Breast_MB
KCNG1,1.25,Breast_MB
KCNJ2,1.25,Breast_MB
KCNK1,1.25,Breast_MB
KCNK12,1.25,Breast_MB
KCNK5,1.25,Breast_MB
KCNK6,1.25,Breast_MB
KCNMA1,1.25,Breast_MB
KCNMB1,1.25,Breast_MB
KCNMB4,1.25,Breast_MB
KCNN4,1.25,Breast_MB
KCNS1,1.25,Breast_MB
KCNS3,1.25,Breast_MB
KCTD14,1.25,Breast_MB
KCTD3,1.25,Breast_MB
KCTD5,1.25,Breast_MB
KCTD6,1.25,Breast_MB
KDELC1,1.25,Breast_MB
KDELR2,1.25,Breast_MB
KDELR3,1.25,Breast_MB
KDM2B,1.25,Breast_MB
KDM4B,1.25,Breast_MB
KHDRBS3,1.25,Breast_MB
KIAA0040,1.25,Breast_MB
KIAA0141,1.25,Breast_MB
KIAA0226L,1.25,Breast_MB
KIAA0232,1.25,Breast_MB
KIAA0319L,1.25,Breast_MB
KIAA0556,1.25,Breast_MB
KIAA0922,1.25,Breast_MB
KIAA1211L,1.25,Breast_MB
KIAA1324,1.25,Breast_MB
KIAA1324L,1.25,Breast_MB
KIAA1522,1.25,Breast_MB
KIAA1524,1.25,Breast_MB
KIAA2013,1.25,Breast_MB
KIF11,1.25,Breast_MB
KIF12,1.25,Breast_MB
KIF13B,1.25,Breast_MB
KIF14,1.25,Breast_MB
KIF16B,1.25,Breast_MB
KIF1A,1.25,Breast_MB
KIF1B,1.25,Breast_MB
KIF1BP,1.25,Breast_MB
KIF20A,1.25,Breast_MB
KIF23,1.25,Breast_MB
KIF2C,1.25,Breast_MB
KIF3B,1.25,Breast_MB
KIF4A,1.25,Breast_MB
KIF5C,1.25,Breast_MB
KIFC1,1.25,Breast_MB
KIFC2,1.25,Breast_MB
KIR2DL3,1.25,Breast_MB
KIR2DL4,1.25,Breast_MB
KISS1R,1.25,Breast_MB
KIT,1.25,Breast_MB
KITLG,1.25,Breast_MB
KLF11,1.25,Breast_MB
KLF12,1.25,Breast_MB
KLF6,1.25,Breast_MB
KLHDC3,1.25,Breast_MB
KLHDC9,1.25,Breast_MB
KLHL13,1.25,Breast_MB
KLHL24,1.25,Breast_MB
KLHL29,1.25,Breast_MB
KLHL35,1.25,Breast_MB
KLHL6,1.25,Breast_MB
KLK10,1.25,Breast_MB
KLK11,1.25,Breast_MB
KLK5,1.25,Breast_MB
KLK6,1.25,Breast_MB
KLK7,1.25,Breast_MB
KLK8,1.25,Breast_MB
KLRB1,1.25,Breast_MB
KLRC3,1.25,Breast_MB
KLRD1,1.25,Breast_MB
KLRG2,1.25,Breast_MB
KNSTRN,1.25,Breast_MB
KPNA2,1.25,Breast_MB
KPNA4,1.25,Breast_MB
KRT14,1.25,Breast_MB
KRT16,1.25,Breast_MB
KRT17,1.25,Breast_MB
KRT18P55,1.25,Breast_MB
KRT23,1.25,Breast_MB
KRT5,1.25,Breast_MB
KRT6A,1.25,Breast_MB
KRT6B,1.25,Breast_MB
KRT7,1.25,Breast_MB
KRT8,1.25,Breast_MB
KRT80,1.25,Breast_MB
KRT81,1.25,Breast_MB
KRT86,1.25,Breast_MB
KYNU,1.25,Breast_MB
L3HYPDH,1.25,Breast_MB
L3MBTL3,1.25,Breast_MB
LAD1,1.25,Breast_MB
LAG3,1.25,Breast_MB
LALBA,1.25,Breast_MB
LAMA1,1.25,Breast_MB
LAMA2,1.25,Breast_MB
LAMA3,1.25,Breast_MB
LAMA4,1.25,Breast_MB
LAMA5,1.25,Breast_MB
LAMB1,1.25,Breast_MB
LAMB2,1.25,Breast_MB
LAMB3,1.25,Breast_MB
LAMC1,1.25,Breast_MB
LAMC2,1.25,Breast_MB
LAMC3,1.25,Breast_MB
LAMP2,1.25,Breast_MB
LAMP3,1.25,Breast_MB
LAMP5,1.25,Breast_MB
LANCL1,1.25,Breast_MB
LAPTM4B,1.25,Breast_MB
LARP6,1.25,Breast_MB
LASP1,1.25,Breast_MB
LAX1,1.25,Breast_MB
LBH,1.25,Breast_MB
LBP,1.25,Breast_MB
LBR,1.25,Breast_MB
LCMT2,1.25,Breast_MB
LCN12,1.25,Breast_MB
LCN2,1.25,Breast_MB
LCP1,1.25,Breast_MB
LCT,1.25,Breast_MB
