Gene,FC,Source
CCL3,2,Prostate
CTHRC1,2,Prostate
KCNS1,2,Prostate
MNX1,2,Prostate
MYCL,2,Prostate
RFPL2,2,Prostate
SLC15A1,2,Prostate
VSIG10L,2,Prostate
ARHGAP24,2,Lung
HILPDA,2,Lung
CBS,2,Lung
CDC34,2,Lung
EIF4EBP1,2,Lung
FGD4,2,Lung
GPR15,2,Lung
HIST3H2A,2,Lung
HSD17B1,2,Lung
IQGAP2,2,Lung
LSM7,2,Lung
MAST1,2,Lung
NRTN,2,Lung
PKHD1,2,Lung
TGFBR2,2,Lung
THOP1,2,Lung
TMEM198,2,Lung
ANTXR1,2,Kidney
PALLD,2,Kidney
PODN,2,Kidney
RANBP17,2,Kidney
WFDC1,2,Kidney
