Gene,FC,Source
KIF13B,2,Breast_MB
KIF5C,2,Breast_MB
KIT,2,Breast_MB
KLHDC9,2,Breast_MB
KLK5,2,Breast_MB
KLK6,2,Breast_MB
KLK7,2,Breast_MB
KLRB1,2,Breast_MB
KRT14,2,Breast_MB
KRT17,2,Breast_MB
KRT5,2,Breast_MB
KRT6A,2,Breast_MB
KRT6B,2,Breast_MB
KRT7,2,Breast_MB
KRT81,2,Breast_MB
KRT86,2,Breast_MB
LAD1,2,Breast_MB
LAMB3,2,Breast_MB
LAMC2,2,Breast_MB
LAMP3,2,Breast_MB
LCN2,2,Breast_MB
LDHB,2,Breast_MB
LGALS7B,2,Breast_MB
LMO4,2,Breast_MB
LOXL4,2,Breast_MB
LRG1,2,Breast_MB
LRRC26,2,Breast_MB
LTB,2,Breast_MB
MAGED2,2,Breast_MB
MAPT,2,Breast_MB
MELK,2,Breast_MB
MFGE8,2,Breast_MB
MIR99AHG,2,Breast_MB
MLPH,2,Breast_MB
MMP7,2,Breast_MB
MMP9,2,Breast_MB
MRPS30,2,Breast_MB
MT1X,2,Breast_MB
MUC1,2,Breast_MB
MUCL1,2,Breast_MB
MYB,2,Breast_MB
MYBPC1,2,Breast_MB
MYLK,2,Breast_MB
NAT1,2,Breast_MB
NCOA7,2,Breast_MB
NDP,2,Breast_MB
NELL2,2,Breast_MB
NFIB,2,Breast_MB
NOSTRIN,2,Breast_MB
NOVA1,2,Breast_MB
NPNT,2,Breast_MB
NR2E3,2,Breast_MB
NTN4,2,Breast_MB
OLFM4,2,Breast_MB
OSR1,2,Breast_MB
P4HTM,2,Breast_MB
PCDH18,2,Breast_MB
PDGFRA,2,Breast_MB
PFKP,2,Breast_MB
PI3,2,Breast_MB
PIP,2,Breast_MB
PKIB,2,Breast_MB
PLAC8,2,Breast_MB
PNPLA7,2,Breast_MB
PPP1R14C,2,Breast_MB
PPP1R1B,2,Breast_MB
PPP1R3C,2,Breast_MB
PRNP,2,Breast_MB
PROM1,2,Breast_MB
PROS1,2,Breast_MB
PRRT3,2,Breast_MB
PRRX2,2,Breast_MB
PSAT1,2,Breast_MB
RAB17,2,Breast_MB
RAB26,2,Breast_MB
RABEP1,2,Breast_MB
RARA,2,Breast_MB
RARRES1,2,Breast_MB
RARRES3,2,Breast_MB
RASEF,2,Breast_MB
RBP1,2,Breast_MB
RCAN1,2,Breast_MB
RDH10,2,Breast_MB
REEP1,2,Breast_MB
REEP6,2,Breast_MB
REPS2,2,Breast_MB
RERG,2,Breast_MB
RGMA,2,Breast_MB
RGS11,2,Breast_MB
RGS2,2,Breast_MB
RHBDL1,2,Breast_MB
RMND1,2,Breast_MB
RND3,2,Breast_MB
ROPN1,2,Breast_MB
RUNDC1,2,Breast_MB
S100A8,2,Breast_MB
S100A9,2,Breast_MB
SCGB1D2,2,Breast_MB
SCGB2A1,2,Breast_MB
SCGB2A2,2,Breast_MB
SCGB3A1,2,Breast_MB
SCNN1A,2,Breast_MB
SCPEP1,2,Breast_MB
SCUBE2,2,Breast_MB
SELENBP1,2,Breast_MB
SERPINA11,2,Breast_MB
SERPINB5,2,Breast_MB
SERPINE2,2,Breast_MB
SERPINH1,2,Breast_MB
SERPINI1,2,Breast_MB
SFRP1,2,Breast_MB
SGCE,2,Breast_MB
SLC39A6,2,Breast_MB
SLC44A4,2,Breast_MB
SLC5A6,2,Breast_MB
SLC7A5,2,Breast_MB
SLC7A8,2,Breast_MB
SLPI,2,Breast_MB
SOSTDC1,2,Breast_MB
SOX10,2,Breast_MB
SOX11,2,Breast_MB
SPDEF,2,Breast_MB
SPOCK2,2,Breast_MB
SRPX,2,Breast_MB
STAC2,2,Breast_MB
STARD10,2,Breast_MB
STC1,2,Breast_MB
STC2,2,Breast_MB
STK32B,2,Breast_MB
SUSD3,2,Breast_MB
SYBU,2,Breast_MB
SYNGR1,2,Breast_MB
SYNM,2,Breast_MB
SYT13,2,Breast_MB
SYT17,2,Breast_MB
SYTL2,2,Breast_MB
TBC1D9,2,Breast_MB
TCEA3,2,Breast_MB
TCEAL1,2,Breast_MB
TCEAL3,2,Breast_MB
TCEAL4,2,Breast_MB
TEAD2,2,Breast_MB
TF,2,Breast_MB
TFF1,2,Breast_MB
TFF3,2,Breast_MB
TJP3,2,Breast_MB
TMC4,2,Breast_MB
TMEM145,2,Breast_MB
TMEM158,2,Breast_MB
TMPRSS6,2,Breast_MB
TMSB15A,2,Breast_MB
TMSB15B,2,Breast_MB
TNC,2,Breast_MB
TP63,2,Breast_MB
TPRG1,2,Breast_MB
TSPAN13,2,Breast_MB
TSPYL5,2,Breast_MB
TTYH1,2,Breast_MB
TUBB2B,2,Breast_MB
TUBB3,2,Breast_MB
UBD,2,Breast_MB
UBE2E3,2,Breast_MB
UNC5A,2,Breast_MB
VGLL1,2,Breast_MB
VTCN1,2,Breast_MB
WNK4,2,Breast_MB
XBP1,2,Breast_MB
YBX1,2,Breast_MB
YBX3,2,Breast_MB
YBX3P1,2,Breast_MB
ZG16B,2,Breast_MB
ZNF91,2,Breast_MB
A2ML1,2,Breast_TCGA
AADAT,2,Breast_TCGA
ABCA8,2,Breast_TCGA
ABCA9,2,Breast_TCGA
ABCC11,2,Breast_TCGA
ABCC6,2,Breast_TCGA
ACOX2,2,Breast_TCGA
ACTG2,2,Breast_TCGA
ADAM19,2,Breast_TCGA
ADAM6,2,Breast_TCGA
ADAMTS15,2,Breast_TCGA
ADAMTS5,2,Breast_TCGA
ADD3,2,Breast_TCGA
ADIRF,2,Breast_TCGA
ADORA1,2,Breast_TCGA
AGR2,2,Breast_TCGA
AGR3,2,Breast_TCGA
AKT3,2,Breast_TCGA
ALDH1A3,2,Breast_TCGA
AMOTL1,2,Breast_TCGA
AMPH,2,Breast_TCGA
ANOS1,2,Breast_TCGA
ANP32E,2,Breast_TCGA
ANXA8,2,Breast_TCGA
ANXA9,2,Breast_TCGA
AR,2,Breast_TCGA
AREG,2,Breast_TCGA
ARFGEF3,2,Breast_TCGA
ARHGAP28,2,Breast_TCGA
